complaint_id,beneficiary_id,complaint_type,channel,status,resolution_days
91,1987,corruption,helpdesk,resolved,27
92,1350,staff_behavior,community,resolved,18
93,190,exclusion,hotline,open,
94,561,exclusion,helpdesk,resolved,26
95,1879,exclusion,helpdesk,resolved,15
96,13,exclusion,helpdesk,resolved,18
97,1788,delay,helpdesk,open,
98,1245,exclusion,helpdesk,open,
99,280,corruption,helpdesk,resolved,13
100,1537,delay,helpdesk,open,
101,428,staff_behavior,hotline,resolved,18
102,209,delay,helpdesk,resolved,22
103,996,corruption,community,open,
104,1470,corruption,helpdesk,open,
105,1425,staff_behavior,helpdesk,resolved,4
106,1954,delay,helpdesk,resolved,5
107,259,exclusion,helpdesk,resolved,28
108,49,staff_behavior,hotline,resolved,6
109,15,exclusion,hotline,open,
110,1367,exclusion,helpdesk,resolved,2
111,869,exclusion,community,open,
112,942,delay,helpdesk,open,
113,1983,exclusion,hotline,resolved,20
114,1941,corruption,hotline,open,
115,97,corruption,community,resolved,18
116,1565,delay,community,open,
117,1990,exclusion,community,resolved,19
118,1407,staff_behavior,helpdesk,resolved,30
119,262,corruption,hotline,open,
120,126,delay,community,open,
121,256,staff_behavior,community,resolved,29
122,502,delay,helpdesk,resolved,14
123,1485,corruption,hotline,resolved,20
124,148,corruption,hotline,resolved,17
125,43,exclusion,community,resolved,25
126,1490,delay,hotline,resolved,27
127,985,corruption,hotline,resolved,21
128,319,delay,hotline,open,
129,1414,corruption,helpdesk,resolved,20
130,1038,exclusion,helpdesk,open,
131,1736,exclusion,hotline,resolved,9
132,302,exclusion,community,open,
133,1171,corruption,helpdesk,resolved,22
134,287,corruption,community,resolved,18
135,1649,exclusion,hotline,resolved,15
136,780,staff_behavior,community,resolved,8
137,533,delay,hotline,resolved,20
138,1918,corruption,community,open,
139,849,delay,community,resolved,9
140,1066,corruption,community,open,
141,1290,staff_behavior,community,resolved,23
142,232,exclusion,hotline,resolved,29
143,634,corruption,hotline,resolved,8
144,873,exclusion,helpdesk,open,
145,1151,delay,helpdesk,resolved,3
146,1439,exclusion,community,resolved,22
147,1864,corruption,helpdesk,resolved,29
148,1087,exclusion,hotline,resolved,20
149,1889,corruption,hotline,resolved,4
150,1461,corruption,helpdesk,resolved,13
151,345,corruption,community,open,
152,1980,exclusion,hotline,resolved,24
153,299,delay,hotline,open,
154,1097,delay,helpdesk,resolved,6
155,1348,staff_behavior,helpdesk,resolved,19
156,1577,staff_behavior,community,open,
157,401,staff_behavior,community,resolved,12
158,647,corruption,helpdesk,resolved,3
159,1475,exclusion,hotline,resolved,22
160,132,staff_behavior,helpdesk,resolved,7
161,25,staff_behavior,hotline,open,
162,1969,staff_behavior,helpdesk,resolved,21
163,214,delay,community,open,
164,598,corruption,hotline,resolved,6
165,63,exclusion,helpdesk,resolved,18
166,815,corruption,community,resolved,2
167,1975,delay,community,open,
168,1145,staff_behavior,hotline,open,
169,1970,corruption,hotline,resolved,28
170,81,corruption,hotline,resolved,22
171,352,staff_behavior,helpdesk,resolved,8
172,1562,delay,hotline,resolved,18
173,377,corruption,hotline,open,
174,132,exclusion,community,resolved,28
175,605,staff_behavior,helpdesk,open,
176,1700,corruption,helpdesk,resolved,14
177,1256,corruption,community,resolved,25
178,811,delay,helpdesk,resolved,6
179,680,exclusion,hotline,open,
180,1960,exclusion,community,resolved,3
181,236,delay,community,resolved,23
182,264,corruption,hotline,open,
183,1414,corruption,helpdesk,open,
184,22,corruption,hotline,resolved,5
185,660,corruption,hotline,open,
186,1445,delay,community,resolved,22
187,292,delay,hotline,resolved,21
188,936,exclusion,helpdesk,resolved,7
189,1572,exclusion,community,resolved,28
190,230,staff_behavior,hotline,resolved,23
191,254,staff_behavior,community,resolved,29
192,790,delay,hotline,resolved,16
193,510,exclusion,helpdesk,open,
194,766,delay,hotline,open,
195,1931,exclusion,helpdesk,open,
196,801,staff_behavior,hotline,open,
197,63,delay,community,resolved,10
198,679,delay,community,resolved,4
199,1344,staff_behavior,helpdesk,open,
200,293,corruption,community,resolved,14
