beneficiary_id,name,sex,age,household_size,department,commune,vulnerability_score,registration_date
101,Beneficiary_101,F,41,2,Sud,Aquin,61,1/31/2025
102,Beneficiary_102,M,54,4,Sud,Port-Salut,71,1/19/2025
103,Beneficiary_103,M,10,8,Ouest,Port-au-Prince,31,3/20/2025
104,Beneficiary_104,F,44,4,Ouest,Carrefour,60,3/31/2025
105,Beneficiary_105,F,44,4,Artibonite,Saint-Marc,100,1/19/2025
106,Beneficiary_106,M,45,2,Sud,Aquin,72,2/24/2025
107,Beneficiary_107,F,52,1,Ouest,Delmas,63,3/13/2025
108,Beneficiary_108,F,29,3,Ouest,Port-au-Prince,65,3/1/2025
109,Beneficiary_109,F,21,8,Sud,Aquin,45,3/20/2025
110,Beneficiary_110,F,26,9,Sud,Aquin,51,2/27/2025
111,Beneficiary_111,F,76,5,Ouest,Carrefour,12,2/1/2025
112,Beneficiary_112,F,47,4,Sud,Port-Salut,17,2/5/2025
113,Beneficiary_113,F,26,4,Artibonite,Gonaives,71,2/4/2025
114,Beneficiary_114,M,36,3,Artibonite,Saint-Marc,28,1/20/2025
115,Beneficiary_115,M,22,4,Ouest,Carrefour,63,1/9/2025
116,Beneficiary_116,F,21,9,Artibonite,Saint-Marc,54,3/1/2025
117,Beneficiary_117,M,35,7,Artibonite,Gonaives,36,2/19/2025
118,Beneficiary_118,M,73,7,Sud,Aquin,62,3/3/2025
119,Beneficiary_119,F,0,7,Ouest,Tabarre,53,2/23/2025
120,Beneficiary_120,M,23,8,Sud,Aquin,67,1/29/2025
121,Beneficiary_121,F,20,1,Artibonite,Saint-Marc,47,2/19/2025
122,Beneficiary_122,F,44,3,Artibonite,Dessalines,67,3/1/2025
123,Beneficiary_123,F,13,1,Ouest,Port-au-Prince,43,1/11/2025
124,Beneficiary_124,M,26,8,Sud,Port-Salut,36,1/24/2025
125,Beneficiary_125,F,66,6,Ouest,Tabarre,58,1/28/2025
126,Beneficiary_126,F,12,7,Artibonite,Saint-Marc,68,2/5/2025
127,Beneficiary_127,M,73,8,Artibonite,Saint-Marc,70,1/3/2025
128,Beneficiary_128,M,7,6,Sud,Aquin,40,1/29/2025
129,Beneficiary_129,M,57,1,Sud,Les Cayes,35,2/1/2025
130,Beneficiary_130,M,42,4,Ouest,Port-au-Prince,65,1/17/2025
131,Beneficiary_131,M,18,4,Artibonite,Dessalines,48,3/1/2025
132,Beneficiary_132,F,0,3,Sud,Port-Salut,29,3/19/2025
133,Beneficiary_133,M,30,3,Sud,Aquin,25,2/9/2025
134,Beneficiary_134,F,64,7,Ouest,Port-au-Prince,21,2/20/2025
135,Beneficiary_135,M,27,4,Sud,Les Cayes,52,1/14/2025
136,Beneficiary_136,M,60,1,Sud,Port-Salut,21,2/14/2025
137,Beneficiary_137,F,55,2,Sud,Port-Salut,50,3/6/2025
138,Beneficiary_138,M,17,7,Sud,Port-Salut,59,3/4/2025
139,Beneficiary_139,F,38,8,Ouest,Carrefour,37,1/20/2025
140,Beneficiary_140,F,36,9,Artibonite,Gonaives,42,3/3/2025
141,Beneficiary_141,F,37,6,Artibonite,Saint-Marc,63,2/1/2025
142,Beneficiary_142,F,63,4,Ouest,Tabarre,25,3/1/2025
143,Beneficiary_143,F,73,6,Sud,Aquin,10,1/4/2025
144,Beneficiary_144,M,32,8,Artibonite,Saint-Marc,61,1/28/2025
145,Beneficiary_145,F,40,5,Artibonite,Saint-Marc,37,3/18/2025
146,Beneficiary_146,M,31,9,Sud,Port-Salut,40,1/25/2025
147,Beneficiary_147,F,24,8,Ouest,Delmas,66,3/13/2025
148,Beneficiary_148,F,41,8,Ouest,Carrefour,36,1/3/2025
149,Beneficiary_149,M,51,7,Ouest,Tabarre,56,3/30/2025
150,Beneficiary_150,F,49,8,Ouest,Tabarre,62,3/12/2025
151,Beneficiary_151,F,20,9,Sud,Port-Salut,38,2/12/2025
152,Beneficiary_152,F,48,5,Artibonite,Dessalines,62,2/9/2025
153,Beneficiary_153,M,34,4,Artibonite,Gonaives,52,2/10/2025
154,Beneficiary_154,M,57,4,Ouest,Delmas,38,3/3/2025
155,Beneficiary_155,F,44,2,Artibonite,Dessalines,45,1/25/2025
156,Beneficiary_156,F,31,3,Artibonite,Gonaives,71,2/8/2025
157,Beneficiary_157,F,49,1,Ouest,Delmas,66,1/7/2025
158,Beneficiary_158,M,58,8,Sud,Port-Salut,50,1/14/2025
159,Beneficiary_159,F,47,8,Ouest,Tabarre,43,2/26/2025
160,Beneficiary_160,M,40,5,Artibonite,Gonaives,47,3/3/2025
161,Beneficiary_161,F,36,8,Ouest,Port-au-Prince,61,1/10/2025
162,Beneficiary_162,M,20,3,Sud,Aquin,91,1/20/2025
163,Beneficiary_163,M,16,4,Sud,Port-Salut,25,1/16/2025
164,Beneficiary_164,M,55,9,Sud,Port-Salut,65,2/18/2025
165,Beneficiary_165,F,46,7,Artibonite,Saint-Marc,62,2/9/2025
166,Beneficiary_166,M,34,2,Sud,Aquin,32,1/27/2025
167,Beneficiary_167,F,36,2,Sud,Les Cayes,36,1/21/2025
168,Beneficiary_168,M,52,3,Ouest,Delmas,47,1/1/2025
169,Beneficiary_169,F,20,5,Artibonite,Saint-Marc,43,1/5/2025
170,Beneficiary_170,F,42,8,Ouest,Tabarre,38,1/10/2025
171,Beneficiary_171,F,20,4,Sud,Les Cayes,54,2/24/2025
172,Beneficiary_172,M,39,5,Ouest,Delmas,39,1/19/2025
173,Beneficiary_173,M,26,5,Ouest,Port-au-Prince,54,3/18/2025
174,Beneficiary_174,F,8,8,Sud,Aquin,21,1/16/2025
175,Beneficiary_175,F,22,7,Artibonite,Dessalines,45,2/4/2025
176,Beneficiary_176,F,40,8,Sud,Aquin,79,1/11/2025
177,Beneficiary_177,F,50,6,Sud,Les Cayes,46,3/19/2025
178,Beneficiary_178,M,34,4,Artibonite,Gonaives,29,3/28/2025
179,Beneficiary_179,M,34,5,Sud,Aquin,44,3/15/2025
180,Beneficiary_180,F,40,9,Ouest,Delmas,33,3/25/2025
181,Beneficiary_181,M,44,7,Artibonite,Saint-Marc,80,3/23/2025
182,Beneficiary_182,F,33,6,Artibonite,Gonaives,58,2/22/2025
183,Beneficiary_183,M,47,3,Artibonite,Saint-Marc,41,2/12/2025
184,Beneficiary_184,F,39,5,Artibonite,Dessalines,50,3/26/2025
185,Beneficiary_185,M,36,8,Artibonite,Dessalines,34,1/12/2025
186,Beneficiary_186,F,35,2,Artibonite,Saint-Marc,59,2/21/2025
187,Beneficiary_187,F,61,7,Sud,Les Cayes,69,1/7/2025
188,Beneficiary_188,F,73,8,Ouest,Tabarre,34,1/7/2025
189,Beneficiary_189,M,50,5,Ouest,Tabarre,53,2/26/2025
190,Beneficiary_190,M,74,1,Sud,Port-Salut,33,3/22/2025
191,Beneficiary_191,M,19,5,Sud,Les Cayes,38,3/12/2025
192,Beneficiary_192,M,0,4,Ouest,Carrefour,39,1/15/2025
193,Beneficiary_193,M,21,8,Artibonite,Gonaives,53,2/7/2025
194,Beneficiary_194,F,41,7,Sud,Aquin,87,3/3/2025
195,Beneficiary_195,F,52,9,Artibonite,Gonaives,38,1/19/2025
196,Beneficiary_196,M,18,2,Artibonite,Gonaives,59,2/5/2025
197,Beneficiary_197,F,11,1,Artibonite,Saint-Marc,86,2/6/2025
198,Beneficiary_198,F,56,3,Sud,Port-Salut,40,2/27/2025
199,Beneficiary_199,F,4,6,Sud,Port-Salut,77,3/12/2025
200,Beneficiary_200,F,32,6,Sud,Port-Salut,74,1/25/2025
201,Beneficiary_201,F,6,4,Sud,Les Cayes,38,2/22/2025
202,Beneficiary_202,F,35,7,Ouest,Tabarre,50,2/19/2025
203,Beneficiary_203,M,26,8,Sud,Aquin,62,1/5/2025
204,Beneficiary_204,M,15,8,Ouest,Tabarre,47,1/13/2025
205,Beneficiary_205,M,37,3,Sud,Port-Salut,60,2/22/2025
206,Beneficiary_206,M,47,8,Sud,Les Cayes,27,2/3/2025
207,Beneficiary_207,F,7,2,Artibonite,Dessalines,75,2/12/2025
208,Beneficiary_208,F,40,6,Sud,Aquin,35,3/22/2025
209,Beneficiary_209,M,62,2,Sud,Port-Salut,52,1/31/2025
210,Beneficiary_210,F,56,4,Sud,Aquin,51,1/12/2025
211,Beneficiary_211,M,72,8,Artibonite,Gonaives,85,1/22/2025
212,Beneficiary_212,M,30,1,Sud,Port-Salut,69,2/11/2025
213,Beneficiary_213,F,46,6,Ouest,Tabarre,77,2/25/2025
214,Beneficiary_214,F,17,3,Ouest,Delmas,63,1/22/2025
215,Beneficiary_215,F,54,4,Ouest,Port-au-Prince,14,3/5/2025
216,Beneficiary_216,M,13,8,Sud,Les Cayes,9,3/23/2025
217,Beneficiary_217,F,30,1,Artibonite,Saint-Marc,64,3/1/2025
218,Beneficiary_218,M,62,2,Artibonite,Dessalines,51,2/26/2025
219,Beneficiary_219,F,64,7,Artibonite,Dessalines,22,3/30/2025
220,Beneficiary_220,F,4,4,Artibonite,Saint-Marc,48,2/19/2025
221,Beneficiary_221,M,41,7,Artibonite,Gonaives,49,3/15/2025
222,Beneficiary_222,F,0,5,Artibonite,Dessalines,48,1/3/2025
223,Beneficiary_223,F,11,1,Sud,Port-Salut,63,3/14/2025
224,Beneficiary_224,M,41,8,Sud,Aquin,31,2/6/2025
225,Beneficiary_225,M,25,4,Ouest,Tabarre,28,3/21/2025
226,Beneficiary_226,M,33,2,Artibonite,Dessalines,69,3/22/2025
227,Beneficiary_227,F,17,8,Sud,Les Cayes,60,1/5/2025
228,Beneficiary_228,M,25,2,Sud,Port-Salut,34,2/7/2025
229,Beneficiary_229,F,33,3,Artibonite,Dessalines,29,1/26/2025
230,Beneficiary_230,F,25,3,Ouest,Tabarre,26,2/2/2025
231,Beneficiary_231,F,70,2,Artibonite,Saint-Marc,50,3/1/2025
232,Beneficiary_232,M,22,7,Ouest,Delmas,54,3/13/2025
233,Beneficiary_233,F,32,1,Artibonite,Gonaives,45,2/3/2025
234,Beneficiary_234,F,46,6,Sud,Les Cayes,65,3/28/2025
235,Beneficiary_235,F,25,7,Sud,Aquin,38,3/23/2025
236,Beneficiary_236,M,30,8,Artibonite,Gonaives,3,1/4/2025
237,Beneficiary_237,F,7,4,Sud,Aquin,77,3/24/2025
238,Beneficiary_238,F,64,7,Ouest,Carrefour,45,1/15/2025
239,Beneficiary_239,M,45,5,Ouest,Port-au-Prince,56,3/5/2025
240,Beneficiary_240,M,90,9,Ouest,Port-au-Prince,72,1/18/2025
241,Beneficiary_241,F,32,9,Artibonite,Saint-Marc,30,2/23/2025
242,Beneficiary_242,M,6,7,Sud,Aquin,54,3/25/2025
243,Beneficiary_243,F,21,5,Ouest,Carrefour,21,1/5/2025
244,Beneficiary_244,M,23,8,Sud,Port-Salut,28,2/26/2025
245,Beneficiary_245,M,65,6,Ouest,Tabarre,67,3/11/2025
246,Beneficiary_246,M,34,7,Sud,Port-Salut,79,2/5/2025
247,Beneficiary_247,F,36,2,Ouest,Port-au-Prince,32,3/26/2025
248,Beneficiary_248,M,62,6,Ouest,Port-au-Prince,60,2/1/2025
249,Beneficiary_249,M,16,9,Ouest,Delmas,46,1/27/2025
250,Beneficiary_250,M,19,6,Sud,Les Cayes,22,1/19/2025
251,Beneficiary_251,F,51,3,Sud,Les Cayes,88,1/17/2025
252,Beneficiary_252,M,9,2,Sud,Port-Salut,61,3/26/2025
253,Beneficiary_253,M,23,6,Ouest,Delmas,40,1/31/2025
254,Beneficiary_254,M,24,3,Sud,Port-Salut,32,2/3/2025
255,Beneficiary_255,F,35,9,Ouest,Delmas,33,1/15/2025
256,Beneficiary_256,F,39,8,Sud,Les Cayes,48,2/16/2025
257,Beneficiary_257,M,30,8,Sud,Aquin,31,3/6/2025
258,Beneficiary_258,F,24,8,Ouest,Port-au-Prince,65,3/24/2025
259,Beneficiary_259,F,44,7,Ouest,Port-au-Prince,30,2/24/2025
260,Beneficiary_260,F,36,8,Sud,Les Cayes,65,1/10/2025
261,Beneficiary_261,M,4,2,Ouest,Tabarre,60,1/17/2025
262,Beneficiary_262,F,23,7,Artibonite,Dessalines,61,3/18/2025
263,Beneficiary_263,F,21,9,Sud,Port-Salut,13,3/19/2025
264,Beneficiary_264,M,5,9,Artibonite,Gonaives,50,1/28/2025
265,Beneficiary_265,M,39,7,Artibonite,Saint-Marc,31,2/13/2025
266,Beneficiary_266,F,46,2,Artibonite,Saint-Marc,16,2/10/2025
267,Beneficiary_267,F,33,6,Artibonite,Saint-Marc,25,1/20/2025
268,Beneficiary_268,M,23,2,Sud,Port-Salut,50,1/11/2025
269,Beneficiary_269,M,19,6,Ouest,Carrefour,42,1/17/2025
270,Beneficiary_270,F,53,2,Sud,Les Cayes,38,2/22/2025
271,Beneficiary_271,F,50,1,Artibonite,Dessalines,27,2/6/2025
272,Beneficiary_272,F,44,2,Sud,Port-Salut,78,3/15/2025
273,Beneficiary_273,M,0,8,Sud,Les Cayes,34,1/29/2025
274,Beneficiary_274,F,45,2,Ouest,Tabarre,45,2/5/2025
275,Beneficiary_275,F,41,9,Sud,Les Cayes,37,3/21/2025
276,Beneficiary_276,M,36,5,Sud,Aquin,46,1/4/2025
277,Beneficiary_277,F,56,6,Ouest,Tabarre,55,2/14/2025
278,Beneficiary_278,M,41,7,Ouest,Delmas,41,1/9/2025
279,Beneficiary_279,M,26,9,Ouest,Port-au-Prince,41,1/28/2025
280,Beneficiary_280,F,42,6,Artibonite,Saint-Marc,41,1/21/2025
281,Beneficiary_281,F,40,2,Artibonite,Saint-Marc,91,1/7/2025
282,Beneficiary_282,M,50,2,Ouest,Delmas,43,2/4/2025
283,Beneficiary_283,F,56,8,Artibonite,Dessalines,41,3/19/2025
284,Beneficiary_284,F,0,4,Artibonite,Saint-Marc,29,3/7/2025
285,Beneficiary_285,F,1,2,Ouest,Tabarre,42,2/6/2025
286,Beneficiary_286,F,35,9,Sud,Aquin,83,3/27/2025
287,Beneficiary_287,M,40,7,Artibonite,Gonaives,45,3/18/2025
288,Beneficiary_288,M,49,5,Ouest,Port-au-Prince,5,1/28/2025
289,Beneficiary_289,F,39,6,Ouest,Tabarre,65,1/16/2025
290,Beneficiary_290,F,8,3,Ouest,Carrefour,72,1/17/2025
291,Beneficiary_291,M,41,9,Artibonite,Dessalines,41,3/13/2025
292,Beneficiary_292,M,46,7,Sud,Port-Salut,95,1/6/2025
293,Beneficiary_293,F,38,2,Artibonite,Gonaives,54,2/10/2025
294,Beneficiary_294,F,26,7,Sud,Port-Salut,33,2/7/2025
295,Beneficiary_295,M,49,6,Ouest,Carrefour,32,1/22/2025
296,Beneficiary_296,F,36,2,Sud,Port-Salut,40,2/25/2025
297,Beneficiary_297,F,43,7,Ouest,Delmas,56,3/9/2025
298,Beneficiary_298,F,53,6,Ouest,Carrefour,39,1/29/2025
299,Beneficiary_299,M,30,9,Artibonite,Gonaives,30,3/23/2025
300,Beneficiary_300,F,27,6,Ouest,Delmas,57,3/24/2025
301,Beneficiary_301,M,48,3,Ouest,Delmas,31,2/2/2025
302,Beneficiary_302,M,50,2,Ouest,Delmas,77,1/23/2025
303,Beneficiary_303,F,42,8,Sud,Port-Salut,87,3/29/2025
304,Beneficiary_304,F,21,6,Sud,Aquin,25,1/20/2025
305,Beneficiary_305,F,2,8,Artibonite,Gonaives,79,3/22/2025
306,Beneficiary_306,M,46,6,Artibonite,Saint-Marc,48,3/6/2025
307,Beneficiary_307,F,40,8,Ouest,Tabarre,27,1/5/2025
308,Beneficiary_308,F,79,2,Ouest,Tabarre,52,3/24/2025
309,Beneficiary_309,F,36,9,Ouest,Carrefour,64,1/6/2025
310,Beneficiary_310,M,43,6,Artibonite,Dessalines,54,3/19/2025
311,Beneficiary_311,M,20,1,Artibonite,Dessalines,59,2/27/2025
312,Beneficiary_312,M,68,9,Ouest,Tabarre,76,3/24/2025
313,Beneficiary_313,M,63,8,Ouest,Port-au-Prince,39,2/26/2025
314,Beneficiary_314,M,17,6,Sud,Aquin,47,2/17/2025
315,Beneficiary_315,F,36,6,Artibonite,Saint-Marc,71,3/28/2025
316,Beneficiary_316,F,4,2,Sud,Les Cayes,80,2/12/2025
317,Beneficiary_317,F,32,5,Ouest,Carrefour,41,3/26/2025
318,Beneficiary_318,F,16,2,Sud,Les Cayes,16,3/16/2025
319,Beneficiary_319,F,49,5,Sud,Les Cayes,51,3/25/2025
320,Beneficiary_320,F,11,3,Sud,Aquin,24,3/18/2025
321,Beneficiary_321,F,28,9,Sud,Les Cayes,83,2/18/2025
322,Beneficiary_322,M,30,9,Sud,Port-Salut,19,1/12/2025
323,Beneficiary_323,F,30,9,Sud,Aquin,44,2/16/2025
324,Beneficiary_324,F,0,3,Ouest,Tabarre,48,1/28/2025
325,Beneficiary_325,M,30,4,Artibonite,Saint-Marc,63,1/18/2025
326,Beneficiary_326,F,68,2,Ouest,Port-au-Prince,72,3/6/2025
327,Beneficiary_327,M,30,6,Sud,Aquin,27,3/21/2025
328,Beneficiary_328,M,81,3,Ouest,Carrefour,51,1/24/2025
329,Beneficiary_329,M,35,8,Sud,Aquin,49,1/6/2025
330,Beneficiary_330,M,38,8,Artibonite,Saint-Marc,47,3/20/2025
331,Beneficiary_331,F,24,4,Artibonite,Dessalines,39,3/10/2025
332,Beneficiary_332,F,34,4,Ouest,Tabarre,39,2/17/2025
333,Beneficiary_333,F,22,8,Sud,Aquin,52,2/6/2025
334,Beneficiary_334,F,30,3,Artibonite,Dessalines,80,1/26/2025
335,Beneficiary_335,F,0,1,Sud,Les Cayes,71,3/24/2025
336,Beneficiary_336,M,57,9,Artibonite,Saint-Marc,8,1/16/2025
337,Beneficiary_337,M,28,5,Artibonite,Gonaives,42,2/27/2025
338,Beneficiary_338,F,9,2,Sud,Les Cayes,34,1/29/2025
339,Beneficiary_339,M,15,7,Artibonite,Saint-Marc,85,1/7/2025
340,Beneficiary_340,F,51,4,Artibonite,Dessalines,75,2/19/2025
341,Beneficiary_341,M,47,1,Ouest,Tabarre,27,2/10/2025
342,Beneficiary_342,M,25,3,Ouest,Tabarre,59,1/5/2025
343,Beneficiary_343,M,13,8,Artibonite,Saint-Marc,64,2/27/2025
344,Beneficiary_344,M,30,1,Sud,Les Cayes,42,2/2/2025
345,Beneficiary_345,F,47,2,Ouest,Delmas,58,2/6/2025
346,Beneficiary_346,M,28,1,Ouest,Tabarre,73,1/31/2025
347,Beneficiary_347,F,15,2,Artibonite,Dessalines,62,1/15/2025
348,Beneficiary_348,M,45,9,Artibonite,Dessalines,43,3/15/2025
349,Beneficiary_349,F,40,7,Ouest,Delmas,24,1/1/2025
350,Beneficiary_350,M,51,7,Sud,Port-Salut,46,1/24/2025
351,Beneficiary_351,M,25,9,Sud,Aquin,70,2/16/2025
352,Beneficiary_352,F,22,8,Ouest,Port-au-Prince,21,1/6/2025
353,Beneficiary_353,F,6,5,Sud,Port-Salut,62,1/3/2025
354,Beneficiary_354,F,11,4,Artibonite,Gonaives,85,3/26/2025
355,Beneficiary_355,F,0,3,Sud,Les Cayes,83,1/6/2025
356,Beneficiary_356,F,38,3,Artibonite,Dessalines,48,3/29/2025
357,Beneficiary_357,F,25,3,Artibonite,Dessalines,57,1/18/2025
358,Beneficiary_358,M,34,5,Ouest,Carrefour,72,1/26/2025
359,Beneficiary_359,M,37,6,Ouest,Delmas,53,2/9/2025
360,Beneficiary_360,F,28,5,Sud,Port-Salut,48,1/5/2025
361,Beneficiary_361,F,40,6,Sud,Les Cayes,15,1/7/2025
362,Beneficiary_362,F,10,2,Sud,Port-Salut,64,2/17/2025
363,Beneficiary_363,F,38,7,Artibonite,Saint-Marc,46,2/13/2025
364,Beneficiary_364,F,35,6,Ouest,Carrefour,56,3/8/2025
365,Beneficiary_365,F,25,2,Artibonite,Gonaives,34,2/25/2025
366,Beneficiary_366,F,38,6,Sud,Les Cayes,30,1/14/2025
367,Beneficiary_367,F,42,5,Ouest,Tabarre,15,2/27/2025
368,Beneficiary_368,F,53,3,Sud,Aquin,59,3/30/2025
369,Beneficiary_369,F,39,1,Artibonite,Saint-Marc,69,2/15/2025
370,Beneficiary_370,F,64,1,Sud,Port-Salut,70,1/10/2025
371,Beneficiary_371,F,1,6,Sud,Aquin,24,3/7/2025
372,Beneficiary_372,M,23,1,Sud,Aquin,50,1/19/2025
