distribution_id,beneficiary_id,distribution_date,assistance_type,amount,cycle
63,24,5/19/2025,food,100,2
64,24,6/11/2025,cash,100,3
65,25,4/20/2025,food,100,1
66,25,5/11/2025,food,90,2
67,25,6/18/2025,cash,100,3
68,26,4/10/2025,food,110,1
69,26,5/18/2025,food,90,2
70,26,6/19/2025,cash,90,3
71,27,5/12/2025,cash,90,2
72,27,6/15/2025,cash,90,3
73,28,4/13/2025,cash,90,1
74,28,5/10/2025,cash,90,2
75,28,6/15/2025,cash,100,3
76,29,5/13/2025,food,90,2
77,30,4/14/2025,food,90,1
78,30,5/15/2025,food,110,2
79,30,6/13/2025,cash,110,3
80,31,4/13/2025,cash,90,1
81,31,5/13/2025,cash,110,2
82,31,6/19/2025,food,100,3
83,32,4/19/2025,food,90,1
84,32,5/14/2025,food,110,2
85,33,4/11/2025,food,110,1
86,33,5/12/2025,cash,90,2
87,33,6/14/2025,cash,110,3
88,34,4/20/2025,cash,100,1
89,34,5/15/2025,food,100,2
90,34,6/19/2025,cash,90,3
91,35,4/18/2025,cash,110,1
92,35,5/11/2025,food,110,2
93,35,6/15/2025,food,90,3
94,36,4/13/2025,food,90,1
95,36,5/13/2025,food,90,2
96,36,6/11/2025,cash,110,3
97,37,4/14/2025,food,90,1
98,37,5/19/2025,food,110,2
99,37,6/11/2025,cash,90,3
100,38,4/16/2025,cash,100,1
101,38,5/20/2025,food,100,2
102,38,6/14/2025,cash,110,3
103,39,4/12/2025,cash,90,1
104,39,5/14/2025,cash,110,2
105,39,6/15/2025,cash,110,3
106,40,4/17/2025,cash,100,1
107,40,6/18/2025,food,100,3
108,41,5/13/2025,food,110,2
109,41,6/14/2025,food,100,3
110,42,4/20/2025,cash,90,1
111,42,5/11/2025,cash,110,2
112,42,6/14/2025,food,90,3
113,43,5/18/2025,cash,100,2
114,43,6/20/2025,cash,100,3
115,44,4/13/2025,cash,110,1
116,44,5/18/2025,food,90,2
117,45,4/18/2025,cash,110,1
118,45,5/12/2025,cash,90,2
119,45,6/12/2025,food,90,3
120,46,4/16/2025,cash,100,1
121,46,6/20/2025,cash,110,3
122,47,4/11/2025,food,100,1
123,47,5/14/2025,cash,90,2
124,47,6/19/2025,food,90,3
125,49,4/10/2025,food,110,1
126,49,5/10/2025,food,90,2
127,49,6/15/2025,food,100,3
128,50,4/15/2025,cash,100,1
129,50,5/11/2025,food,100,2
130,50,6/18/2025,cash,100,3
131,51,4/17/2025,cash,90,1
132,51,5/14/2025,cash,100,2
133,51,6/14/2025,food,100,3
134,52,4/18/2025,food,90,1
135,52,6/17/2025,cash,90,3
136,53,4/16/2025,cash,100,1
137,53,5/13/2025,cash,90,2
138,53,6/12/2025,food,100,3
139,54,4/10/2025,cash,110,1
140,54,5/17/2025,food,90,2
141,54,6/18/2025,food,110,3
142,55,4/15/2025,food,110,1
143,55,5/16/2025,cash,90,2
144,56,4/12/2025,cash,100,1
145,56,5/20/2025,cash,90,2
146,56,6/15/2025,food,110,3
147,57,4/16/2025,food,100,1
148,57,5/11/2025,food,90,2
149,57,6/18/2025,cash,90,3
150,58,4/11/2025,food,110,1
151,58,5/16/2025,cash,100,2
152,58,6/11/2025,cash,90,3
153,59,5/20/2025,cash,90,2
154,59,6/16/2025,cash,100,3
155,60,6/19/2025,cash,90,3
156,61,4/16/2025,food,110,1
157,61,5/20/2025,cash,90,2
158,61,6/17/2025,cash,110,3
159,62,4/10/2025,food,90,1
160,62,5/14/2025,food,110,2
161,62,6/15/2025,cash,90,3
162,63,4/10/2025,food,90,1
163,63,5/14/2025,cash,100,2
164,63,6/17/2025,food,100,3
165,64,4/11/2025,cash,110,1
166,64,5/12/2025,food,100,2
167,64,6/15/2025,food,90,3
168,65,4/13/2025,food,90,1
169,65,5/12/2025,cash,90,2
170,65,6/20/2025,cash,90,3
171,66,4/11/2025,cash,110,1
172,66,5/14/2025,food,90,2
173,66,6/12/2025,cash,90,3
174,67,4/18/2025,food,110,1
175,67,6/17/2025,cash,100,3
176,68,4/16/2025,cash,90,1
177,68,5/12/2025,food,90,2
178,69,4/13/2025,food,100,1
179,69,5/18/2025,cash,90,2
180,69,6/18/2025,food,110,3
181,70,4/16/2025,food,90,1
182,70,5/12/2025,cash,110,2
183,70,6/18/2025,food,110,3
184,71,4/18/2025,food,100,1
185,71,5/14/2025,food,110,2
186,71,6/13/2025,cash,110,3
187,72,4/10/2025,cash,100,1
188,72,6/10/2025,cash,90,3
189,73,4/10/2025,food,110,1
190,73,5/15/2025,food,90,2
191,74,4/14/2025,cash,100,1
192,74,5/14/2025,food,90,2
193,74,6/10/2025,food,90,3
194,75,4/14/2025,cash,100,1
195,75,6/19/2025,cash,110,3
196,76,4/16/2025,food,110,1
197,76,5/18/2025,cash,100,2
198,76,6/14/2025,cash,110,3
199,77,4/16/2025,cash,100,1
200,77,5/16/2025,food,90,2
201,78,4/12/2025,food,90,1
202,78,5/12/2025,cash,110,2
203,78,6/12/2025,food,90,3
204,79,4/12/2025,food,110,1
205,79,5/11/2025,cash,90,2
206,79,6/17/2025,food,90,3
207,80,4/12/2025,cash,110,1
208,80,5/16/2025,cash,90,2
209,80,6/20/2025,cash,90,3
210,81,4/11/2025,food,90,1
211,81,6/10/2025,cash,110,3
212,82,4/15/2025,cash,90,1
213,82,5/19/2025,food,90,2
214,82,6/17/2025,cash,90,3
215,83,4/14/2025,cash,90,1
216,83,5/11/2025,food,90,2
217,83,6/16/2025,cash,90,3
218,84,5/16/2025,food,90,2
219,84,6/14/2025,cash,110,3
220,85,4/11/2025,food,90,1
221,85,6/14/2025,food,90,3
222,86,4/11/2025,food,90,1
223,86,5/19/2025,cash,90,2
224,86,6/15/2025,cash,110,3
225,87,4/20/2025,food,110,1
226,87,5/15/2025,cash,100,2
227,88,4/14/2025,cash,90,1
228,88,5/12/2025,cash,100,2
229,88,6/17/2025,food,90,3
230,89,4/16/2025,food,90,1
231,89,5/12/2025,cash,100,2
232,89,6/17/2025,food,100,3
233,90,4/16/2025,food,90,1
234,90,5/20/2025,cash,100,2
235,90,6/17/2025,food,110,3
236,91,4/13/2025,food,90,1
237,91,5/16/2025,cash,110,2
238,91,6/15/2025,cash,90,3
239,92,5/18/2025,food,90,2
240,93,4/15/2025,food,90,1
241,93,5/12/2025,food,90,2
242,93,6/13/2025,cash,110,3
243,94,4/12/2025,food,110,1
244,94,5/16/2025,food,90,2
245,94,6/20/2025,cash,100,3
246,95,4/12/2025,cash,90,1
247,95,5/11/2025,cash,90,2
248,95,6/16/2025,cash,90,3
249,96,4/12/2025,food,100,1
250,96,5/15/2025,food,110,2
251,96,6/14/2025,cash,90,3
252,97,4/20/2025,cash,110,1
253,97,5/18/2025,cash,90,2
254,97,6/16/2025,food,110,3
255,98,4/14/2025,food,110,1
256,98,5/12/2025,food,90,2
257,98,6/12/2025,cash,100,3
258,99,4/13/2025,food,90,1
259,99,5/18/2025,cash,110,2
260,99,6/15/2025,food,100,3
261,100,4/15/2025,food,90,1
262,100,5/11/2025,cash,100,2
263,100,6/15/2025,cash,90,3
264,101,4/18/2025,cash,90,1
265,101,5/10/2025,food,90,2
266,101,6/20/2025,cash,90,3
267,102,4/19/2025,cash,110,1
268,102,6/10/2025,food,90,3
269,103,5/15/2025,food,100,2
270,103,6/15/2025,food,110,3
271,104,4/12/2025,cash,100,1
272,104,5/18/2025,cash,110,2
273,104,6/12/2025,cash,110,3
274,105,4/17/2025,cash,100,1
275,105,5/20/2025,food,90,2
276,105,6/11/2025,cash,90,3
277,106,4/20/2025,cash,110,1
278,106,5/18/2025,food,100,2
279,106,6/15/2025,food,100,3
280,107,4/16/2025,cash,110,1
281,107,5/16/2025,cash,90,2
282,108,4/12/2025,food,90,1
283,108,5/12/2025,food,110,2
284,108,6/11/2025,food,90,3
285,109,4/12/2025,food,90,1
286,109,5/19/2025,food,100,2
287,109,6/12/2025,food,100,3
288,110,6/17/2025,cash,90,3
289,111,5/15/2025,food,100,2
290,111,6/19/2025,cash,100,3
291,112,4/19/2025,food,100,1
292,112,5/16/2025,food,100,2
293,112,6/20/2025,cash,110,3
294,113,5/13/2025,cash,90,2
295,113,6/14/2025,food,90,3
296,114,4/11/2025,cash,100,1
297,114,5/20/2025,cash,100,2
298,114,6/20/2025,food,90,3
299,115,4/11/2025,food,100,1
300,115,5/15/2025,cash,100,2
301,115,6/19/2025,food,90,3
302,116,4/17/2025,cash,100,1
303,116,5/18/2025,cash,100,2
304,116,6/13/2025,food,110,3
305,117,4/19/2025,food,90,1
306,117,6/16/2025,food,90,3
307,118,4/10/2025,food,100,1
308,118,5/12/2025,cash,90,2
309,118,6/16/2025,cash,100,3
310,119,4/17/2025,food,110,1
311,119,5/14/2025,cash,90,2
312,119,6/16/2025,food,100,3
313,120,4/15/2025,food,100,1
314,120,5/12/2025,food,100,2
315,121,4/10/2025,cash,90,1
316,121,5/19/2025,cash,100,2
317,121,6/15/2025,cash,90,3
318,122,4/12/2025,food,100,1
319,122,5/20/2025,food,100,2
320,122,6/10/2025,food,90,3
321,123,4/20/2025,cash,90,1
322,123,5/13/2025,food,110,2
323,123,6/12/2025,food,90,3
324,124,4/13/2025,cash,100,1
325,124,5/10/2025,food,100,2
326,124,6/11/2025,food,110,3
327,125,5/15/2025,food,110,2
328,125,6/15/2025,cash,90,3
329,126,4/15/2025,cash,110,1
330,126,5/18/2025,food,100,2
331,126,6/20/2025,food,110,3
332,127,4/19/2025,cash,90,1
333,127,5/11/2025,cash,110,2
334,127,6/16/2025,cash,100,3
335,128,4/19/2025,cash,110,1
336,128,5/19/2025,cash,110,2
337,128,6/16/2025,cash,90,3
338,129,4/18/2025,food,90,1
339,129,5/17/2025,cash,100,2
340,130,5/20/2025,food,90,2
341,131,4/18/2025,food,100,1
342,131,5/14/2025,food,100,2
343,131,6/10/2025,food,90,3
344,132,4/12/2025,food,110,1
345,132,5/19/2025,food,100,2
346,132,6/19/2025,food,90,3
347,133,4/16/2025,cash,110,1
348,133,5/10/2025,food,90,2
349,134,4/12/2025,food,100,1
350,134,5/16/2025,cash,90,2
351,134,6/12/2025,cash,110,3
352,135,4/16/2025,food,110,1
353,135,5/15/2025,cash,90,2
354,135,6/16/2025,cash,110,3
355,136,4/12/2025,cash,110,1
356,136,5/11/2025,food,90,2
357,136,6/12/2025,food,110,3
358,137,4/15/2025,cash,90,1
359,137,5/13/2025,food,90,2
360,137,6/13/2025,food,100,3
361,138,4/14/2025,cash,90,1
362,138,5/20/2025,cash,90,2
363,138,6/19/2025,cash,90,3
364,139,4/14/2025,cash,90,1
365,139,5/15/2025,cash,100,2
366,139,6/10/2025,food,90,3
367,140,4/20/2025,cash,90,1
368,140,5/16/2025,food,110,2
369,141,4/12/2025,food,90,1
370,141,6/20/2025,cash,90,3
371,142,6/19/2025,cash,90,3
372,143,4/14/2025,cash,90,1
373,143,5/18/2025,cash,110,2
374,143,6/12/2025,cash,100,3
375,144,4/13/2025,cash,100,1
376,144,5/11/2025,cash,100,2
377,144,6/13/2025,cash,100,3
378,145,4/20/2025,food,100,1
379,145,5/17/2025,food,110,2
380,146,5/13/2025,food,100,2
381,146,6/19/2025,food,90,3
382,147,4/17/2025,food,100,1
383,147,5/14/2025,food,110,2
384,147,6/16/2025,food,90,3
385,148,4/15/2025,cash,100,1
386,148,5/10/2025,food,110,2
387,148,6/19/2025,food,100,3
388,149,4/12/2025,food,100,1
389,149,5/15/2025,cash,90,2
390,149,6/15/2025,food,90,3
391,150,4/11/2025,cash,100,1
392,150,5/15/2025,cash,100,2
393,150,6/15/2025,cash,110,3
394,151,4/14/2025,cash,110,1
395,151,5/18/2025,food,110,2
396,151,6/20/2025,cash,110,3
397,152,4/16/2025,food,100,1
398,152,5/13/2025,cash,90,2
399,152,6/17/2025,cash,100,3
400,153,4/11/2025,food,90,1
401,153,5/19/2025,food,90,2
402,153,6/14/2025,cash,110,3
403,154,4/19/2025,cash,100,1
404,154,5/16/2025,cash,110,2
405,155,4/20/2025,cash,90,1
406,155,5/16/2025,food,100,2
407,155,6/15/2025,food,90,3
408,156,4/15/2025,food,110,1
409,156,5/14/2025,food,100,2
410,156,6/11/2025,food,110,3
411,157,4/13/2025,cash,90,1
412,157,5/15/2025,food,90,2
413,157,6/13/2025,food,110,3
414,158,6/14/2025,cash,90,3
415,159,4/14/2025,cash,100,1
416,159,5/19/2025,food,100,2
417,159,6/12/2025,food,90,3
418,160,4/12/2025,food,110,1
419,160,5/11/2025,cash,110,2
420,160,6/17/2025,food,100,3
421,161,4/17/2025,cash,90,1
422,161,5/14/2025,cash,100,2
423,161,6/13/2025,cash,110,3
424,162,4/17/2025,cash,90,1
425,162,5/13/2025,food,100,2
426,162,6/11/2025,food,90,3
427,163,4/18/2025,food,100,1
428,163,5/20/2025,cash,110,2
429,163,6/12/2025,cash,100,3
430,164,4/17/2025,cash,100,1
431,164,5/14/2025,food,90,2
432,164,6/19/2025,cash,90,3
433,165,4/11/2025,cash,90,1
434,165,5/17/2025,cash,100,2
435,165,6/20/2025,food,100,3
436,166,4/18/2025,cash,100,1
437,166,5/12/2025,food,110,2
438,166,6/15/2025,cash,100,3
439,167,4/11/2025,cash,110,1
440,167,5/16/2025,cash,100,2
441,167,6/12/2025,food,110,3
442,168,4/18/2025,food,90,1
443,168,5/20/2025,cash,90,2
444,168,6/10/2025,cash,110,3
445,169,4/11/2025,cash,100,1
446,169,5/19/2025,food,100,2
447,169,6/13/2025,food,100,3
448,170,4/13/2025,food,110,1
449,170,5/19/2025,food,110,2
450,170,6/12/2025,food,110,3
451,171,4/13/2025,cash,100,1
452,171,5/12/2025,cash,100,2
453,171,6/12/2025,cash,110,3
454,172,4/15/2025,cash,90,1
455,172,6/12/2025,cash,110,3
456,173,4/17/2025,cash,100,1
457,173,5/17/2025,cash,90,2
458,173,6/19/2025,food,90,3
459,174,4/12/2025,cash,90,1
460,174,5/15/2025,food,100,2
461,174,6/18/2025,food,110,3
462,175,4/15/2025,food,90,1
463,175,5/14/2025,food,110,2
464,175,6/19/2025,food,90,3
465,176,4/18/2025,cash,90,1
466,176,6/20/2025,cash,100,3
467,177,4/13/2025,food,100,1
468,177,5/11/2025,cash,100,2
469,177,6/14/2025,food,110,3
470,178,4/20/2025,food,100,1
471,178,5/16/2025,food,100,2
472,178,6/19/2025,food,110,3
473,179,4/17/2025,food,100,1
474,179,5/10/2025,food,110,2
475,179,6/20/2025,cash,110,3
476,180,5/20/2025,cash,100,2
477,180,6/11/2025,food,90,3
478,181,4/13/2025,food,110,1
479,181,5/17/2025,food,90,2
480,181,6/20/2025,cash,90,3
481,182,4/15/2025,food,110,1
482,182,5/18/2025,cash,90,2
483,182,6/12/2025,cash,100,3
484,183,4/11/2025,food,90,1
485,183,5/15/2025,cash,110,2
486,183,6/16/2025,food,90,3
487,184,4/14/2025,food,90,1
488,184,5/20/2025,food,110,2
489,184,6/13/2025,food,90,3
490,185,4/13/2025,food,100,1
491,185,5/19/2025,food,110,2
492,185,6/16/2025,cash,90,3
493,186,4/15/2025,food,100,1
494,186,5/17/2025,food,100,2
495,186,6/18/2025,cash,100,3
496,187,4/12/2025,food,90,1
497,187,5/15/2025,cash,110,2
498,187,6/19/2025,food,90,3
499,188,4/16/2025,cash,100,1
500,188,5/17/2025,food,90,2
501,188,6/14/2025,cash,100,3
502,189,4/14/2025,food,110,1
503,189,5/10/2025,cash,110,2
504,189,6/18/2025,cash,110,3
505,190,4/12/2025,food,90,1
506,190,5/20/2025,cash,100,2
507,190,6/10/2025,food,110,3
508,191,4/11/2025,cash,90,1
509,191,5/11/2025,cash,90,2
510,191,6/17/2025,cash,110,3
511,192,4/10/2025,cash,100,1
512,192,5/12/2025,cash,110,2
513,192,6/19/2025,food,110,3
514,193,4/16/2025,cash,110,1
515,193,5/12/2025,cash,90,2
516,193,6/18/2025,cash,100,3
517,194,4/14/2025,cash,110,1
518,194,5/20/2025,food,100,2
519,194,6/11/2025,food,100,3
520,195,4/12/2025,cash,100,1
521,195,5/19/2025,food,90,2
522,195,6/10/2025,food,90,3
523,196,5/12/2025,food,110,2
524,196,6/10/2025,cash,100,3
525,197,4/18/2025,cash,100,1
526,197,6/18/2025,cash,90,3
527,198,4/15/2025,food,100,1
528,198,5/12/2025,food,110,2
529,198,6/16/2025,cash,110,3
530,199,4/17/2025,cash,110,1
531,199,5/18/2025,food,90,2
532,199,6/19/2025,food,110,3
533,200,4/16/2025,cash,90,1
534,200,5/12/2025,cash,90,2
535,200,6/17/2025,food,100,3
536,201,4/13/2025,cash,90,1
537,201,5/16/2025,food,90,2
538,201,6/14/2025,cash,90,3
539,202,4/11/2025,food,100,1
540,202,5/10/2025,cash,100,2
541,202,6/17/2025,food,90,3
542,203,5/13/2025,cash,100,2
543,203,6/20/2025,food,90,3
544,204,4/12/2025,food,110,1
545,204,5/13/2025,cash,110,2
546,204,6/20/2025,cash,90,3
547,205,4/12/2025,cash,100,1
548,205,5/19/2025,cash,100,2
549,205,6/20/2025,food,90,3
550,206,4/19/2025,food,110,1
551,206,5/19/2025,cash,90,2
552,206,6/20/2025,food,90,3
553,207,4/12/2025,food,90,1
554,207,5/13/2025,cash,110,2
555,207,6/10/2025,cash,100,3
556,208,5/15/2025,cash,90,2
557,209,4/19/2025,cash,110,1
558,209,6/16/2025,cash,110,3
559,210,4/11/2025,food,100,1
560,210,5/10/2025,food,100,2
561,210,6/15/2025,cash,90,3
562,211,4/15/2025,cash,90,1
563,211,5/19/2025,cash,100,2
564,212,5/19/2025,cash,110,2
565,212,6/12/2025,food,110,3
566,213,4/10/2025,food,110,1
567,213,5/15/2025,food,100,2
568,213,6/13/2025,cash,90,3
569,214,4/13/2025,food,110,1
570,214,5/10/2025,food,90,2
571,214,6/16/2025,cash,100,3
572,215,4/18/2025,cash,90,1
573,215,5/19/2025,food,100,2
574,215,6/16/2025,cash,90,3
575,216,4/19/2025,cash,90,1
576,216,5/18/2025,cash,90,2
577,216,6/13/2025,cash,90,3
578,217,4/17/2025,cash,100,1
579,217,5/15/2025,cash,100,2
580,217,6/16/2025,food,110,3
581,218,4/11/2025,cash,100,1
582,218,6/15/2025,cash,100,3
583,219,4/15/2025,food,110,1
584,219,5/14/2025,food,110,2
585,219,6/11/2025,cash,100,3
586,220,5/19/2025,food,100,2
587,220,6/12/2025,cash,100,3
588,221,4/13/2025,cash,100,1
589,221,5/12/2025,cash,90,2
590,221,6/20/2025,food,90,3
591,222,4/10/2025,food,100,1
592,222,5/14/2025,cash,90,2
593,222,6/19/2025,food,100,3
594,223,4/16/2025,food,100,1
595,223,5/13/2025,food,90,2
596,223,6/18/2025,cash,110,3
597,224,4/18/2025,food,90,1
598,224,6/15/2025,food,110,3
599,225,4/10/2025,food,110,1
600,225,5/16/2025,food,110,2
601,226,4/11/2025,food,110,1
602,226,6/18/2025,food,100,3
603,227,4/19/2025,food,90,1
604,227,6/13/2025,cash,90,3
605,228,4/20/2025,food,90,1
606,228,6/14/2025,food,110,3
607,229,4/19/2025,food,100,1
608,229,5/14/2025,cash,90,2
609,229,6/20/2025,food,100,3
610,230,4/17/2025,food,90,1
611,230,5/17/2025,cash,100,2
612,230,6/18/2025,cash,100,3
613,231,4/11/2025,food,110,1
614,231,5/11/2025,food,90,2
615,231,6/14/2025,food,100,3
616,232,4/20/2025,cash,90,1
617,232,5/20/2025,cash,90,2
618,232,6/10/2025,cash,110,3
619,233,4/17/2025,food,90,1
620,233,5/13/2025,cash,110,2
621,234,5/15/2025,cash,110,2
622,234,6/11/2025,cash,110,3
623,235,4/18/2025,cash,90,1
624,235,5/19/2025,food,110,2
625,235,6/20/2025,food,100,3
626,236,4/15/2025,food,100,1
627,236,6/15/2025,food,100,3
628,237,4/12/2025,food,90,1
629,237,5/12/2025,cash,90,2
630,237,6/15/2025,food,90,3
631,238,4/19/2025,cash,110,1
632,238,5/16/2025,cash,90,2
633,239,5/19/2025,food,110,2
634,239,6/18/2025,cash,110,3
635,240,4/18/2025,food,100,1
636,240,5/19/2025,food,90,2
637,240,6/15/2025,cash,100,3
638,241,4/11/2025,cash,100,1
639,241,5/16/2025,food,90,2
640,241,6/18/2025,cash,100,3
641,242,4/19/2025,cash,100,1
642,242,5/13/2025,cash,110,2
643,242,6/16/2025,cash,110,3
644,243,4/14/2025,food,100,1
645,243,5/16/2025,food,110,2
646,244,4/20/2025,cash,90,1
647,244,5/10/2025,cash,90,2
648,244,6/18/2025,food,110,3
649,245,4/10/2025,food,90,1
650,245,5/11/2025,cash,110,2
651,245,6/16/2025,food,100,3
652,246,4/18/2025,cash,110,1
653,246,5/15/2025,food,110,2
654,246,6/11/2025,cash,90,3
655,247,4/15/2025,food,100,1
656,247,5/16/2025,food,100,2
657,247,6/12/2025,cash,90,3
658,248,4/19/2025,food,110,1
659,248,5/16/2025,food,100,2
660,248,6/19/2025,food,90,3
661,249,4/17/2025,food,90,1
662,249,5/18/2025,food,100,2
663,249,6/15/2025,cash,90,3
664,250,4/13/2025,food,110,1
665,250,5/19/2025,food,90,2
666,250,6/12/2025,cash,100,3
667,251,4/17/2025,cash,90,1
668,251,5/14/2025,cash,90,2
669,251,6/12/2025,cash,90,3
670,252,4/18/2025,cash,90,1
671,252,5/10/2025,cash,90,2
672,252,6/10/2025,food,90,3
673,253,4/19/2025,food,110,1
674,253,5/12/2025,food,100,2
675,254,4/11/2025,food,100,1
676,254,5/11/2025,cash,100,2
677,254,6/11/2025,food,90,3
678,255,4/13/2025,cash,100,1
679,255,5/15/2025,food,100,2
680,255,6/18/2025,cash,110,3
681,256,4/10/2025,food,90,1
682,256,6/15/2025,cash,110,3
683,257,4/20/2025,cash,110,1
684,257,5/13/2025,cash,110,2
685,257,6/13/2025,cash,100,3
686,258,4/17/2025,cash,110,1
687,258,5/12/2025,cash,110,2
688,258,6/18/2025,cash,90,3
689,259,4/17/2025,cash,110,1
690,259,5/16/2025,food,110,2
691,259,6/19/2025,cash,110,3
692,260,4/18/2025,cash,100,1
693,260,5/14/2025,food,100,2
694,260,6/16/2025,food,110,3
695,261,4/11/2025,cash,90,1
696,261,6/14/2025,food,100,3
697,262,4/20/2025,food,90,1
698,262,5/15/2025,cash,100,2
699,262,6/12/2025,food,100,3
700,263,4/20/2025,cash,90,1
701,263,5/18/2025,cash,100,2
702,263,6/15/2025,food,110,3
703,264,4/16/2025,food,100,1
704,264,5/10/2025,food,100,2
705,264,6/15/2025,cash,100,3
706,265,4/13/2025,cash,110,1
707,265,5/20/2025,cash,110,2
708,265,6/12/2025,cash,110,3
709,266,4/16/2025,cash,110,1
710,266,5/15/2025,cash,110,2
711,266,6/13/2025,food,110,3
712,267,4/12/2025,food,110,1
713,267,5/12/2025,food,100,2
714,267,6/18/2025,cash,90,3
715,268,4/10/2025,cash,110,1
716,268,5/17/2025,cash,90,2
717,268,6/10/2025,cash,110,3
718,269,4/13/2025,cash,100,1
719,269,5/16/2025,food,90,2
720,269,6/14/2025,cash,90,3
721,270,4/16/2025,cash,90,1
722,270,5/18/2025,cash,90,2
723,270,6/16/2025,cash,110,3
724,271,4/15/2025,food,110,1
725,271,5/14/2025,food,100,2
726,271,6/14/2025,food,100,3
727,272,4/11/2025,cash,100,1
728,272,5/17/2025,food,110,2
729,272,6/13/2025,food,90,3
730,273,5/15/2025,cash,100,2
731,273,6/10/2025,food,90,3
732,274,4/17/2025,cash,110,1
733,274,5/12/2025,cash,90,2
734,274,6/13/2025,food,110,3
735,275,4/12/2025,food,110,1
736,275,5/18/2025,cash,90,2
737,275,6/14/2025,food,100,3
738,276,4/12/2025,cash,100,1
739,276,5/19/2025,food,90,2
740,276,6/13/2025,food,110,3
741,277,4/20/2025,cash,100,1
742,277,5/17/2025,cash,90,2
743,277,6/11/2025,food,90,3
744,278,4/12/2025,cash,90,1
745,278,5/11/2025,cash,100,2
746,278,6/20/2025,food,90,3
747,279,4/18/2025,food,100,1
748,279,5/11/2025,food,100,2
749,279,6/20/2025,food,110,3
750,280,4/15/2025,cash,90,1
751,280,5/20/2025,cash,110,2
752,281,4/19/2025,food,100,1
753,281,5/15/2025,cash,90,2
754,281,6/17/2025,cash,100,3
755,282,4/12/2025,food,90,1
756,282,6/13/2025,cash,110,3
757,283,4/17/2025,food,90,1
758,283,5/17/2025,cash,90,2
759,283,6/18/2025,cash,100,3
760,284,4/13/2025,food,100,1
761,284,5/16/2025,food,100,2
762,284,6/16/2025,food,110,3
763,285,4/20/2025,cash,90,1
764,285,5/11/2025,cash,100,2
765,285,6/19/2025,cash,90,3
766,286,4/19/2025,food,100,1
767,286,5/19/2025,food,110,2
768,286,6/20/2025,food,90,3
769,287,4/13/2025,cash,90,1
770,287,6/12/2025,cash,100,3
771,288,4/15/2025,cash,90,1
772,288,5/17/2025,food,110,2
773,288,6/14/2025,cash,90,3
774,289,4/16/2025,food,110,1
775,289,5/14/2025,food,110,2
776,289,6/19/2025,cash,90,3
777,290,5/12/2025,food,110,2
778,290,6/14/2025,cash,110,3
779,291,4/20/2025,food,90,1
780,291,5/15/2025,food,110,2
781,291,6/16/2025,cash,110,3
782,292,4/13/2025,food,100,1
783,292,5/10/2025,cash,100,2
784,292,6/13/2025,cash,110,3
785,293,4/11/2025,food,100,1
786,293,5/10/2025,food,90,2
787,293,6/20/2025,food,100,3
788,294,4/14/2025,food,110,1
789,294,5/19/2025,cash,110,2
790,295,5/17/2025,cash,100,2
791,295,6/20/2025,cash,90,3
792,296,4/19/2025,cash,110,1
793,296,5/12/2025,cash,100,2
794,296,6/11/2025,cash,100,3
795,297,4/10/2025,food,90,1
